questionType,answer,expertID,QID,questionLabel
informedconset,I agree,2,0,Q0-1
probCat,0.01,2,1,QF1_1
probCat,0.05,2,2,QF1_2
probCat,0.1,2,3,QF1_3
probCat,0.25,2,4,QF1_4
probCat,0.3,2,5,QF1_5
probCat,0.15,2,6,QF1_6
probCat,0.14,2,7,QF1_7
probCat,0.01,2,8,QF2_1
probCat,0.05,2,9,QF2_2
probCat,0.15,2,10,QF2_3
probCat,0.25,2,11,QF2_4
probCat,0.3,2,12,QF2_5
probCat,0.2,2,13,QF2_6
probCat,0.04,2,14,QF2_7
probCat,0.1,2,15,QF3_1
probCat,0.15,2,16,QF3_2
probCat,0.25,2,17,QF3_3
probCat,0.3,2,18,QF3_4
probCat,0.2,2,19,QF3_5
probCat,0.2,2,20,QF4_1
probCat,0.35,2,21,QF4_2
probCat,0.2,2,22,QF4_3
probCat,0.15,2,23,QF4_4
probCat,0.1,2,24,QF4_5
triplet_low,100000,2,25,QF5_1
triplet_mode,250000,2,26,QF5_2
triplet_high,500000,2,27,QF5_3
informedconset,I agree,3,0,Q0-1
probCat,0.02,3,1,QF1_1
probCat,0.1,3,2,QF1_2
probCat,0.33,3,3,QF1_3
probCat,0.33,3,4,QF1_4
probCat,0.1,3,5,QF1_5
probCat,0.1,3,6,QF1_6
probCat,0.02,3,7,QF1_7
probCat,0.2,3,8,QF2_1
probCat,0.15,3,9,QF2_2
probCat,0.15,3,10,QF2_3
probCat,0.15,3,11,QF2_4
probCat,0.15,3,12,QF2_5
probCat,0.1,3,13,QF2_6
probCat,0.1,3,14,QF2_7
probCat,0.1,3,15,QF3_1
probCat,0.2,3,16,QF3_2
probCat,0.3,3,17,QF3_3
probCat,0.3,3,18,QF3_4
probCat,0.1,3,19,QF3_5
probCat,0.5,3,20,QF4_1
probCat,0.3,3,21,QF4_2
probCat,0.1,3,22,QF4_3
probCat,0.08,3,23,QF4_4
probCat,0.02,3,24,QF4_5
triplet_low,95000,3,25,QF5_1
triplet_mode,150000,3,26,QF5_2
triplet_high,350000,3,27,QF5_3
informedconset,I agree,4,0,Q0-1
probCat,0,4,1,QF1_1
probCat,0,4,2,QF1_2
probCat,0,4,3,QF1_3
probCat,0.1,4,4,QF1_4
probCat,0.3,4,5,QF1_5
probCat,0.4,4,6,QF1_6
probCat,0.2,4,7,QF1_7
probCat,0,4,8,QF2_1
probCat,0.2,4,9,QF2_2
probCat,0.2,4,10,QF2_3
probCat,0.3,4,11,QF2_4
probCat,0.2,4,12,QF2_5
probCat,0.1,4,13,QF2_6
probCat,0,4,14,QF2_7
probCat,0.1,4,15,QF3_1
probCat,0.3,4,16,QF3_2
probCat,0.3,4,17,QF3_3
probCat,0.2,4,18,QF3_4
