questionType,answer,expertID,QID,questionLabel
informedconset,I agree,0,0,Q0-1
probCat,0.05,0,1,QF1_1
probCat,0.15,0,2,QF1_2
probCat,0.2,0,3,QF1_3
probCat,0.4,0,4,QF1_4
probCat,0.2,0,5,QF1_5
probCat,0,0,6,QF1_6
probCat,0,0,7,QF1_7
percentile_10_50_90__low,5000,0,8,QF2_1
percentile_10_50_90__mode,6000,0,9,QF2_2
percentile_10_50_90__high,8000,0,10,QF2_3
percentile_10_50_90__low,100,0,11,QF3_1
percentile_10_50_90__mode,200,0,12,QF3_2
percentile_10_50_90__high,300,0,13,QF3_3
percentile_10_50_90__low,100,0,14,QF4_1
percentile_10_50_90__mode,250,0,15,QF4_2
percentile_10_50_90__high,400,0,16,QF4_3
informedconset,I agree,2,0,Q0-1
probCat,0.05,2,1,QF1_1
probCat,0.05,2,2,QF1_2
probCat,0.1,2,3,QF1_3
probCat,0.25,2,4,QF1_4
probCat,0.25,2,5,QF1_5
probCat,0.2,2,6,QF1_6
probCat,0.1,2,7,QF1_7
percentile_10_50_90__low,5000,2,8,QF2_1
percentile_10_50_90__mode,15000,2,9,QF2_2
percentile_10_50_90__high,30000,2,10,QF2_3
percentile_10_50_90__low,100,2,11,QF3_1
percentile_10_50_90__mode,250,2,12,QF3_2
percentile_10_50_90__high,600,2,13,QF3_3
percentile_10_50_90__low,100,2,14,QF4_1
percentile_10_50_90__mode,300,2,15,QF4_2
percentile_10_50_90__high,650,2,16,QF4_3
informedconset,I agree,3,0,Q0-1
probCat,0.02,3,1,QF1_1
probCat,0.05,3,2,QF1_2
probCat,0.25,3,3,QF1_3
probCat,0.36,3,4,QF1_4
probCat,0.25,3,5,QF1_5
probCat,0.05,3,6,QF1_6
probCat,0.02,3,7,QF1_7
percentile_10_50_90__low,5000,3,8,QF2_1
percentile_10_50_90__mode,7406,3,9,QF2_2
percentile_10_50_90__high,10000,3,10,QF2_3
percentile_10_50_90__low,100,3,11,QF3_1
percentile_10_50_90__mode,250,3,12,QF3_2
percentile_10_50_90__high,400,3,13,QF3_3
percentile_10_50_90__low,150,3,14,QF4_1
percentile_10_50_90__mode,400,3,15,QF4_2
percentile_10_50_90__high,500,3,16,QF4_3
informedconset,I agree,5,0,Q0-1
probCat,0,5,1,QF1_1
probCat,0.1,5,2,QF1_2
probCat,0.7,5,3,QF1_3
probCat,0.2,5,4,QF1_4
probCat,0,5,5,QF1_5
probCat,0,5,6,QF1_6
probCat,0,5,7,QF1_7
percentile_10_50_90__low,5000,5,8,QF2_1
percentile_10_50_90__mode,7000,5,9,QF2_2
percentile_10_50_90__high,10000,5,10,QF2_3
percentile_10_50_90__low,500,5,11,QF3_1
percentile_10_50_90__mode,1000,5,12,QF3_2
percentile_10_50_90__high,3000,5,13,QF3_3
percentile_10_50_90__low,1000,5,14,QF4_1
percentile_10_50_90__mode,2000,5,15,QF4_2
percentile_10_50_90__high,5000,5,16,QF4_3
informedconset,I agree,6,0,Q0-1
probCat,0,6,1,QF1_1
probCat,0.1,6,2,QF1_2
probCat,0.1,6,3,QF1_3
probCat,0.4,6,4,QF1_4
probCat,0.3,6,5,QF1_5
probCat,0.1,6,6,QF1_6
probCat,0,6,7,QF1_7
percentile_10_50_90__low,6000,6,8,QF2_1
percentile_10_50_90__mode,6800,6,9,QF2_2
percentile_10_50_90__high,9500,6,10,QF2_3
percentile_10_50_90__low,200,6,11,QF3_1
percentile_10_50_90__mode,350,6,12,QF3_2
percentile_10_50_90__high,500,6,13,QF3_3
percentile_10_50_90__low,300,6,14,QF4_1
percentile_10_50_90__mode,450,6,15,QF4_2
percentile_10_50_90__high,600,6,16,QF4_3
informedconset,I agree,12,0,Q0-1
probCat,0.05,12,1,QF1_1
probCat,0.15,12,2,QF1_2
probCat,0.3,12,3,QF1_3
probCat,0.3,12,4,QF1_4
probCat,0.1,12,5,QF1_5
probCat,0.05,12,6,QF1_6
probCat,0.05,12,7,QF1_7
percentile_10_50_90__low,6000,12,8,QF2_1
percentile_10_50_90__mode,7500,12,9,QF2_2
percentile_10_50_90__high,11000,12,10,QF2_3
percentile_10_50_90__low,,12,11,QF3_1
percentile_10_50_90__mode,,12,12,QF3_2
percentile_10_50_90__high,,12,13,QF3_3
percentile_10_50_90__low,,12,14,QF4_1
percentile_10_50_90__mode,,12,15,QF4_2
percentile_10_50_90__high,,12,16,QF4_3
informedconset,I agree,13,0,Q0-1
probCat,0.05,13,1,QF1_1
probCat,0.45,13,2,QF1_2
probCat,0.4,13,3,QF1_3
probCat,0.1,13,4,QF1_4
probCat,0,13,5,QF1_5
probCat,0,13,6,QF1_6
probCat,0,13,7,QF1_7
percentile_10_50_90__low,6500,13,8,QF2_1
percentile_10_50_90__mode,8000,13,9,QF2_2
percentile_10_50_90__high,9500,13,10,QF2_3
percentile_10_50_90__low,150,13,11,QF3_1
percentile_10_50_90__mode,350,13,12,QF3_2
percentile_10_50_90__high,450,13,13,QF3_3
percentile_10_50_90__low,250,13,14,QF4_1
percentile_10_50_90__mode,450,13,15,QF4_2
percentile_10_50_90__high,550,13,16,QF4_3
informedconset,I agree,17,0,Q0-1
probCat,0.05,17,1,QF1_1
probCat,0.2,17,2,QF1_2
probCat,0.2,17,3,QF1_3
probCat,0.2,17,4,QF1_4
probCat,0.15,17,5,QF1_5
probCat,0.15,17,6,QF1_6
probCat,0.05,17,7,QF1_7
percentile_10_50_90__low,4300,17,8,QF2_1
percentile_10_50_90__mode,6000,17,9,QF2_2
percentile_10_50_90__high,8000,17,10,QF2_3
percentile_10_50_90__low,200,17,11,QF3_1
percentile_10_50_90__mode,445,17,12,QF3_2
percentile_10_50_90__high,600,17,13,QF3_3
percentile_10_50_90__low,300,17,14,QF4_1
percentile_10_50_90__mode,700,17,15,QF4_2
percentile_10_50_90__high,1200,17,16,QF4_3
informedconset,I agree,19,0,Q0-1
probCat,0,19,1,QF1_1
probCat,0.45,19,2,QF1_2
probCat,0.3,19,3,QF1_3
probCat,0.2,19,4,QF1_4
probCat,0.05,19,5,QF1_5
probCat,0,19,6,QF1_6
probCat,0,19,7,QF1_7
percentile_10_50_90__low,5125,19,8,QF2_1
percentile_10_50_90__mode,5950,19,9,QF2_2
percentile_10_50_90__high,7525,19,10,QF2_3
percentile_10_50_90__low,250,19,11,QF3_1
percentile_10_50_90__mode,300,19,12,QF3_2
percentile_10_50_90__high,600,19,13,QF3_3
percentile_10_50_90__low,350,19,14,QF4_1
percentile_10_50_90__mode,500,19,15,QF4_2
percentile_10_50_90__high,900,19,16,QF4_3
informedconset,I agree,24,0,Q0-1
probCat,0,24,1,QF1_1
probCat,0.1,24,2,QF1_2
probCat,0.2,24,3,QF1_3
probCat,0.2,24,4,QF1_4
probCat,0.2,24,5,QF1_5
probCat,0.2,24,6,QF1_6
probCat,0.1,24,7,QF1_7
percentile_10_50_90__low,4000,24,8,QF2_1
percentile_10_50_90__mode,5000,24,9,QF2_2
percentile_10_50_90__high,8000,24,10,QF2_3
percentile_10_50_90__low,100,24,11,QF3_1
percentile_10_50_90__mode,350,24,12,QF3_2
percentile_10_50_90__high,700,24,13,QF3_3
percentile_10_50_90__low,100,24,14,QF4_1
percentile_10_50_90__mode,500,24,15,QF4_2
percentile_10_50_90__high,1000,24,16,QF4_3
informedconset,I agree,26,0,Q0-1
probCat,0.01,26,1,QF1_1
probCat,0.1,26,2,QF1_2
probCat,0.5,26,3,QF1_3
probCat,0.25,26,4,QF1_4
probCat,0.1,26,5,QF1_5
